rainfall,y,x,trial_1_mm,trial_2_mm,trial_3_mm,avg_mm,avg_mm_min
low,104,50,3.5,3,3.2,3.23,0.647
low,104,100,4,4.1,4,4.03,0.807
low,78,25,4,4.3,3.5,3.93,0.787
low,78,75,5,4.4,4.7,4.7,0.94
low,78,125,4,4.1,4.1,4.07,0.813
low,52,50,5.1,4.9,5,5,1
low,52,100,5,5,5,5,1
low,26,25,3.8,4.2,3.9,3.97,0.793
low,26,75,4,4.8,4.7,4.5,0.9
low,26,125,4,4,4,4,0.8
low,0,50,3.5,4,3.2,3.57,0.713
low,0,100,3.7,3.5,3.9,3.7,0.74
med,104,50,6.1,5.8,5.5,5.8,1.16
med,104,100,6.2,6.4,6.9,6.5,1.3
med,78,25,7,7,7.1,7.03,1.407
med,78,75,8,8.3,8.5,8.27,1.653
med,78,125,7.1,7,7,7.03,1.407
med,52,50,8.7,8.8,8.9,8.8,1.76
med,52,100,9,8.9,8.5,8.8,1.76
med,26,25,5.5,5.6,6,5.7,1.14
med,26,75,8.4,7,7,7.47,1.493
med,26,125,5.7,5.7,5.5,5.63,1.127
med,0,50,5,5,5,5,1
med,0,100,5,5.4,5.2,5.2,1.04
high,104,50,8.9,8.8,8.8,8.83,1.767
high,104,100,7.7,8,8,7.9,1.58
high,78,25,10.3,8.7,10,9.67,1.933
high,78,75,12,13,13.2,12.73,2.547
high,78,125,8.1,10.3,8.9,9.1,1.82
high,52,50,10.1,11.7,11.4,11.07,2.213
high,52,100,12.3,13.9,13.5,13.23,2.647
high,26,25,5.7,6,6.1,5.93,1.187
high,26,75,9.8,9.2,9.3,9.43,1.887
high,26,125,8.8,9.5,9.1,9.13,1.827
high,0,50,5.7,5.8,5.5,5.67,1.133
high,0,100,6.9,7,6.8,6.9,1.38
