run,start_time_min,end_time_min,jar_ID,dry_jar_mass_g,wet_jar_mass_g,water_mass_g,water_temp_C
1,0,1,1,393.3,835.6,442.3,21.7
1,1,2,2,392.9,1160.1,767.2,22
1,2,3,3,394.4,1164,769.6,22.3
1,3,4,4,393,1195.9,802.9,22.2
1,4,5,5,394.4,1161,766.6,22.1
1,5,6,6,393.3,1215.9,822.6,22.4
1,6,7,7,393.3,1159.1,765.8,22.7
1,7,8,8,393,1172.8,779.8,22.6
1,8,9,9,393.4,1162.9,769.5,22.7
1,9,10,10,393.2,1168,774.8,21.9
1,10,11,11,394.4,1156.6,762.2,22.4
1,11,12,12,393.1,1163.5,770.4,22.5
1,12,13,13,392.4,1156.2,763.8,22.9
1,13,14,14,393.9,1173.9,780,22.6
1,14,15,15,393.4,1190.3,796.9,22.4
1,15,16,16,393.2,1165.9,772.7,22.1
1,16,17,17,394,1189.5,795.5,21.8
1,17,18,18,393,1169.1,776.1,22.1
1,18,19,19,392.3,1146.9,754.6,22.1
1,19,20,20,392.9,1177.1,784.2,21.8
1,20,21,21,393.4,1141.3,747.9,22.1
1,21,22,22,393.3,1107.2,713.9,22.1
1,22,23,23,393.3,1139.9,746.6,22.3
1,23,24,24,393.1,1157.1,764,22.4
1,24,25,25,394.3,1130.6,736.3,22.1
1,25,26,26,392.7,1146,753.3,21.8
1,26,27,27,394.2,1132.9,738.7,22
1,27,28,28,394.3,1167,772.7,22
1,28,29,29,394.4,1132.5,738.1,22
1,29,30,30,394,1157.1,763.1,21.8
2,0,1,1,393.3,870.2,476.9,17
2,1,2,2,392.9,1199.6,806.7,23.8
2,2,3,3,394.4,1184.4,790,NA
2,3,4,4,393,1201.5,808.5,NA
2,4,5,5,394.4,1231.4,837,NA
2,5,6,6,393.3,1201.6,808.3,NA
2,6,7,7,393.3,1212.4,819.1,NA
2,7,8,8,393,1231,838,NA
2,8,9,9,393.4,1203.8,810.4,NA
2,9,10,10,393.2,1228.5,835.3,NA
2,10,11,11,394.4,1173.7,779.3,NA
2,11,12,12,393.1,1193.5,800.4,NA
2,12,13,13,392.4,1222.9,830.5,NA
2,13,14,14,393.9,1186.6,792.7,NA
2,14,15,15,393.4,1197.4,804,NA
2,15,16,16,393.2,1210.2,817,NA
2,16,17,17,394,1195,801,NA
2,17,18,18,393,1173.3,780.3,NA
2,18,19,19,392.3,1166.3,774,NA
2,19,20,20,392.9,1260.6,867.7,NA
2,20,21,21,393.4,1120.8,727.4,NA
2,21,22,22,393.3,1202.6,809.3,NA
2,22,23,23,393.3,1168.2,774.9,NA
2,23,24,24,393.1,1195.5,802.4,NA
2,24,25,25,394.3,1222.3,828,NA
2,25,26,26,392.7,1131.4,738.7,NA
2,26,27,27,394.2,1190.6,796.4,NA
2,27,28,28,394.3,1154.2,759.9,NA
2,28,29,29,394.4,1171.6,777.2,NA
2,29,30,30,394,1155.7,761.7,NA
3,0,1,1,393.3,880.3,487,22.8
3,1,2,2,392.9,1141.7,748.8,23.4
3,2,3,3,394.4,1155.3,760.9,23.6
3,3,4,4,393,1143.7,750.7,23.6
3,4,5,5,394.4,1145.3,750.9,23.6
3,5,6,6,393.3,1120.4,727.1,23.7
3,6,7,7,393.3,1119.1,725.8,23.9
3,7,8,8,393,1102.5,709.5,23.9
3,8,9,9,393.4,1126.4,733,24
3,9,10,10,393.2,1162.5,769.3,23.9
3,10,11,11,394.4,1130.5,736.1,23.7
3,11,12,12,393.1,1129.1,736,24
3,12,13,13,392.4,1251.6,859.2,24
3,13,14,14,393.9,1015.9,622,24
3,14,15,15,393.4,1126.7,733.3,23.8
3,15,16,16,393.2,1131.6,738.4,24.4
3,16,17,17,394,1107.6,713.6,24.6
3,17,18,18,393,1136.5,743.5,24.7
3,18,19,19,392.3,1128,735.7,24.8
3,19,20,20,392.9,1120.2,727.3,24.7
3,20,21,21,393.4,1123.4,730,24.9
3,21,22,22,393.3,1102.2,708.9,25
3,22,23,23,393.3,1094,700.7,25.1
3,23,24,24,393.1,1128.1,735,25.2
3,24,25,25,394.3,1129.2,734.9,25.1
3,25,26,26,392.7,1120,727.3,25
3,26,27,27,394.2,1113.8,719.6,25.2
3,27,28,28,394.3,1123.8,729.5,25.3
3,28,29,29,394.4,1125.2,730.8,25.3
3,29,30,30,394,1125.7,731.7,25.2
4,0,1,1,393.3,834.1,440.8,25.2
4,1,2,2,392.9,1128.4,735.5,25.8
4,2,3,3,394.4,1123.6,729.2,26.1
4,3,4,4,393,1143.1,750.1,26.3
4,4,5,5,394.4,1111.7,717.3,26.1
4,5,6,6,393.3,1118.4,725.1,26.3
4,6,7,7,393.3,1120.2,726.9,26.6
4,7,8,8,393,1127.3,734.3,26.7
4,8,9,9,393.4,1124.6,731.2,6.7
4,9,10,10,393.2,1129.4,736.2,26.4
4,10,11,11,394.4,1109.3,714.9,26.3
4,11,12,12,393.1,1129.9,736.8,26.6
4,12,13,13,392.4,1086.5,694.1,26.6
4,13,14,14,393.9,1127.7,733.8,26.6
4,14,15,15,393.4,1098,704.6,26.4
4,15,16,16,393.2,1111.9,718.7,26.6
4,16,17,17,394,1091.5,697.5,26.7
4,17,18,18,393,1115.2,722.2,26.7
4,18,19,19,392.3,1123.4,731.1,26.7
4,19,20,20,394.2,1119.9,725.7,26.5
4,20,21,21,393.4,1108.7,715.3,26.7
4,21,22,22,393.3,1109.7,716.4,26.9
4,22,23,23,393.3,1115.9,722.6,26.9
4,23,24,24,393.1,1102,708.9,26.9
4,24,25,25,394.3,1118.8,724.5,26.7
4,25,26,26,392.7,1090.2,697.5,26.6
4,26,27,27,394.2,1121.8,727.6,26.7
4,27,28,28,394.3,1090.3,696,26.8
4,28,29,29,394.4,1125.4,731,26.8
4,29,30,30,394,1104.1,710.1,26.6
5,0,1,1,393.3,815.4,422.1,2.7
5,1,2,2,392.9,1111.6,718.7,23
5,2,3,3,394.4,1140.7,746.3,23.2
5,3,4,4,393,1135.4,742.4,3.3
5,4,5,5,394.4,1121.4,727,23.3
5,5,6,6,393.3,1136.7,743.4,23.3
5,6,7,7,393.3,1095.2,701.9,23.5
5,7,8,8,393,1114.4,721.4,23.5
5,8,9,9,393.4,1111.7,718.3,23.5
5,9,10,10,393.2,1120.2,727,23.4
5,10,11,11,394.4,1108.8,714.4,23.4
5,11,12,12,393.1,1103.7,710.6,23.5
5,12,13,13,392.4,1105.4,713,23.5
5,13,14,14,393.9,1116.2,722.3,23.5
5,14,15,15,393.4,1118,724.6,23.4
5,15,16,16,393.2,1148.6,755.4,23.7
5,16,17,17,394,1047.8,653.8,23.8
5,17,18,18,393,1091.9,698.9,23.8
5,18,19,19,392.3,1103.6,711.3,23.8
5,19,20,20,394.2,1093.9,699.7,23.7
5,20,21,21,393.4,1113.6,720.2,23.8
5,21,22,22,393.3,1129.4,736.1,23.9
5,22,23,23,393.3,1111,717.7,3.9
5,23,24,24,393.1,1101.8,708.7,23.9
5,24,25,25,394.3,1121.2,726.9,23.9
5,25,26,26,392.7,1126.7,734,23.9
5,26,27,27,394.2,1095.3,701.1,24
5,27,28,28,394.3,1117.2,722.9,24.1
5,28,29,29,394.4,1135.4,741,24.1
5,29,30,30,394,1103.3,709.3,24
6,0,1,1,393.3,812.3,419,24.3
6,1,2,2,392.9,1177.6,784.7,24.5
6,4,5,5,394.4,1161.9,767.5,24.8
6,5,6,6,393.3,1144.9,751.6,25
6,6,7,7,393.3,1128,734.7,25.2
6,7,8,8,393,1145.9,752.9,25.3
6,8,9,9,393.4,1144.6,751.2,25.2
6,9,10,10,393.2,1136.9,743.7,25.1
6,10,11,11,394.4,1134.2,739.8,25.1
6,11,12,12,393.1,1144,750.9,25.2
6,12,13,13,392.4,1154.6,762.2,25.2
6,13,14,14,393.9,1136.9,743,25.2
6,14,15,15,393.4,1148.9,755.5,25.1
6,15,16,16,393.2,1130.5,737.3,24.9
6,16,17,17,394,1139.4,745.4,25
6,17,18,18,393,1139.6,746.6,25
6,18,19,19,392.3,1167.9,775.6,25
6,19,20,20,394.2,1148.4,754.2,24.9
6,20,21,21,393.4,1110,716.6,25
6,21,22,22,393.3,1149.3,756,25
6,22,23,23,393.3,1162.6,769.3,25
6,23,24,24,393.1,1148.6,755.5,25
6,24,25,25,394.3,1144.9,750.6,25
6,25,26,26,392.7,1148.4,755.7,24.9
6,26,27,27,394.2,1170.1,775.9,25
6,27,28,28,394.3,1175.1,780.8,25
6,28,29,29,394.4,1172.3,777.9,25
6,29,30,30,394,1164.2,770.2,24.9
7,0,1,1,393.3,867.7,474.4,25.4
7,1,2,2,392.9,1130.3,737.4,25.6
7,3,4,4,393,1125.4,732.4,25.7
7,4,5,5,394.4,1126.9,732.5,25.7
7,5,6,6,393.3,1104.5,711.2,25.9
7,6,7,7,393.3,1138.3,745,26.1
7,7,8,8,393,1134.1,741.1,26.1
7,8,9,9,393.4,1130.9,737.5,26.1
7,9,10,10,393.2,1146,752.8,25.9
7,10,11,11,394.4,1121.8,727.4,25.7
7,11,12,12,393.1,1130.8,737.7,25.9
7,12,13,13,392.4,1110.5,718.1,25.9
7,13,14,14,393.9,1135.7,741.8,25.9
7,14,15,15,393.4,1143.9,750.5,25.8
7,15,16,16,393.2,1127.9,734.7,25.6
7,16,17,17,394,1130.3,736.3,25.7
7,19,20,20,394.2,1120,725.8,25.5
7,20,21,21,393.4,1121.7,728.3,25.7
7,21,22,22,393.3,1116.8,723.5,25.8
7,22,23,23,393.3,1107.3,714,25.8
7,23,24,24,393.1,1113.5,720.4,25.8
7,24,25,25,394.3,1123.8,729.5,25.7
7,25,26,26,392.7,1109.1,716.4,25.6
7,26,27,27,394.2,1122.5,728.3,25.7
