run,start_time_min,end_time_min,jar_mas_g,jar_and_sample_mass_g,sample_mass_g,slope,surface,rainfall,replicate
1,N/A,Blank,2.61232,2.66673,0.05441,15,sand,med,1
1,0,5,2.61153,2.9447,0.27876,15,sand,med,1
1,5,10,2.5728,2.89378,0.26657,15,sand,med,1
1,10,15,2.56304,2.76554,0.14809,15,sand,med,1
1,15,20,2.61796,2.74166,0.06929,15,sand,med,1
1,20,25,2.58931,2.67924,0.03552,15,sand,med,1
1,25,30,2.63589,2.71036,0.02006,15,sand,med,1
1,N/A,Remainder,2.64193,2.95752,0.31559,15,sand,med,1
2,N/A,Blank,2.58143,2.59584,0.01441,15,sand,med,2
2,0,5,2.59086,2.93523,0.32996,15,sand,med,2
2,5,10,2.61921,2.89892,0.2653,15,sand,med,2
2,10,15,2.59951,2.71276,0.09884,15,sand,med,2
2,15,20,2.59005,2.65654,0.05208,15,sand,med,2
2,20,25,2.62817,2.67385,0.03127,15,sand,med,2
2,25,30,2.6273,2.65499,0.01328,15,sand,med,2
2,N/A,Remainder,NA,NA,0,15,sand,med,2
3,N/A,Blank,2.59196,2.60637,0.01441,15,sand,med,3
3,0,5,2.64943,2.86797,0.20413,15,sand,med,3
3,5,10,2.5675,2.83729,0.25538,15,sand,med,3
3,10,15,2.62158,2.76865,0.13266,15,sand,med,3
3,15,20,2.61624,2.69034,0.05969,15,sand,med,3
3,20,25,2.57999,2.62644,0.03204,15,sand,med,3
3,25,30,2.55883,2.59276,0.01952,15,sand,med,3
3,N/A,Remainder,2.5797,2.92581,0.34611,15,sand,med,3
4,N/A,Blank,2.60041,2.60773,0.00732,15,sand,med,4
4,0,5,2.55359,2.83402,0.27311,15,sand,med,4
4,5,10,2.59771,2.8907,0.28567,15,sand,med,4
4,10,15,2.64878,2.75459,0.09849,15,sand,med,4
4,15,20,2.61614,2.67132,0.04786,15,sand,med,4
4,20,25,2.59408,2.62937,0.02797,15,sand,med,4
4,25,30,2.59813,2.62639,0.02094,15,sand,med,4
4,N/A,Remainder,2.61838,2.77854,0.16016,15,sand,med,4
5,N/A,Blank,2.61521,2.63093,0.01572,10,sand,med,1
5,0,5,2.6595,2.94951,0.27429,10,sand,med,1
5,5,10,2.59129,2.86597,0.25896,10,sand,med,1
5,10,15,2.59351,2.69019,0.08096,10,sand,med,1
5,15,20,2.56321,2.6145,0.03557,10,sand,med,1
5,20,25,2.63792,2.6759,0.02226,10,sand,med,1
5,25,30,2.62939,2.65749,0.01238,10,sand,med,1
5,N/A,Remainder,2.59065,2.71236,0.12171,10,sand,med,1
6,N/A,Blank,2.58699,2.59424,0.00725,10,sand,med,2
6,0,5,2.63462,2.98797,0.3461,10,sand,med,2
6,5,10,2.59974,2.83501,0.22802,10,sand,med,2
6,10,15,2.62049,2.70521,0.07747,10,sand,med,2
6,15,20,2.65299,2.70295,0.04271,10,sand,med,2
6,20,25,2.62367,2.66098,0.03006,10,sand,med,2
6,25,30,2.60309,2.63239,0.02205,10,sand,med,2
6,N/A,Remainder,2.56769,2.7979,0.23021,10,sand,med,2
7,N/A,Blank,2.59445,2.60818,0.01373,10,sand,med,3
7,0,5,2.62773,2.90149,0.26003,10,sand,med,3
7,5,10,2.63096,2.88459,0.2399,10,sand,med,3
