run,slope,surface,rainfall,replicate
1,15,sand,med,1
2,15,sand,med,2
3,15,sand,med,3
4,15,sand,med,4
5,10,sand,med,1
6,10,sand,med,2
7,10,sand,med,3
8,10,sand,med,4
9,5,sand,med,1
10,5,sand,med,2
11,5,sand,med,3
12,5,sand,med,4
13,5,sand,low,1
14,5,sand,low,2
15,5,sand,low,3
16,5,sand,low,4
17,10,sand,low,1
18,10,sand,low,2
19,10,sand,low,3
20,10,sand,low,4
21,15,sand,low,1
22,15,sand,low,2
23,15,sand,low,3
24,15,sand,low,4
25,15,sand,high,1
26,15,sand,high,2
27,15,sand,high,3
28,15,sand,high,4
29,10,sand,high,1
30,10,sand,high,2
31,10,sand,high,3
32,10,sand,high,4
33,5,sand,high,1
34,5,sand,high,2
35,5,sand,high,3
36,5,sand,high,4
37,5,concrete,high,1
38,5,concrete,high,2
39,5,concrete,high,3
40,5,concrete,high,4
41,10,concrete,high,1
42,10,concrete,high,2
43,10,concrete,high,3
44,10,concrete,high,4
45,15,concrete,high,1
46,15,concrete,high,2
47,15,concrete,high,3
48,15,concrete,high,4
49,15,concrete,med,1
50,15,concrete,med,2
51,15,concrete,med,3
52,15,concrete,med,4
53,10,concrete,med,1
54,10,concrete,med,2
55,10,concrete,med,3
56,10,concrete,med,4
57,5,concrete,med,1
58,5,concrete,med,2
59,5,concrete,med,3
60,5,concrete,med,4
61,5,concrete,low,1
62,5,concrete,low,2
63,5,concrete,low,3
64,5,concrete,low,4
65,10,concrete,low,1
66,10,concrete,low,2
67,10,concrete,low,3
68,10,concrete,low,4
69,15,concrete,low,1
70,15,concrete,low,2
71,15,concrete,low,3
72,15,concrete,low,4
