"run","start_time_min","end_time_min","jar_mass_g","jar_and_sample_mass_g","sample_mass_g","slope","surface","rainfall","replicate","raw_mass_g","condition","cumulative_mass_g"
1,0,5,2.61153,2.9447,0.27876,15,"sand","med",1,0.33317,1,0.27876
1,5,10,2.5728,2.89378,0.26657,15,"sand","med",1,0.32098,1,0.54533
1,10,15,2.56304,2.76554,0.14809,15,"sand","med",1,0.2025,1,0.69342
1,15,20,2.61796,2.74166,0.06929,15,"sand","med",1,0.1237,1,0.76271
1,20,25,2.58931,2.67924,0.03552,15,"sand","med",1,0.0899300000000003,1,0.79823
1,25,30,2.63589,2.71036,0.02006,15,"sand","med",1,0.0744700000000003,1,0.81829
2,0,5,2.59086,2.93523,0.32996,15,"sand","med",2,0.34437,1,0.32996
2,5,10,2.61921,2.89892,0.2653,15,"sand","med",2,0.27971,1,0.59526
2,10,15,2.59951,2.71276,0.09884,15,"sand","med",2,0.11325,1,0.6941
2,15,20,2.59005,2.65654,0.05208,15,"sand","med",2,0.0664899999999999,1,0.74618
2,20,25,2.62817,2.67385,0.03127,15,"sand","med",2,0.0456799999999999,1,0.77745
2,25,30,2.6273,2.65499,0.01328,15,"sand","med",2,0.0276900000000002,1,0.79073
3,0,5,2.64943,2.86797,0.20413,15,"sand","med",3,0.21854,1,0.20413
3,5,10,2.5675,2.83729,0.25538,15,"sand","med",3,0.26979,1,0.45951
3,10,15,2.62158,2.76865,0.13266,15,"sand","med",3,0.14707,1,0.59217
3,15,20,2.61624,2.69034,0.05969,15,"sand","med",3,0.0741,1,0.65186
3,20,25,2.57999,2.62644,0.03204,15,"sand","med",3,0.0464500000000001,1,0.6839
3,25,30,2.55883,2.59276,0.01952,15,"sand","med",3,0.0339300000000002,1,0.70342
4,0,5,2.55359,2.83402,0.27311,15,"sand","med",4,0.28043,1,0.27311
4,5,10,2.59771,2.8907,0.28567,15,"sand","med",4,0.29299,1,0.55878
4,10,15,2.64878,2.75459,0.09849,15,"sand","med",4,0.10581,1,0.65727
4,15,20,2.61614,2.67132,0.04786,15,"sand","med",4,0.05518,1,0.70513
