"","condition","c_mm","k_prime","f_k","rss","n_points","rse","max_frac","slope","surface","rainfall"
"1",1,4.2,0.166102951991951,0.697632398366195,0.0321165570509036,6,0.0801455638833537,0.76662,15,"sand","med"
"2",2,4.2,0.158896930230093,0.66736710696639,0.00722852200497212,6,0.0380224197151421,0.693495,10,"sand","med"
"3",3,4.2,0.194084703637362,0.815155755276921,0.00361119908499633,6,0.0268745198468599,0.809789,5,"sand","med"
"4",4,4.2,0.146038136707044,0.613360174169584,0.00736400047784674,6,0.0383770777361871,0.5678475,5,"sand","low"
"5",5,4.2,0.124073756749974,0.521109778349891,0.0153788483051461,6,0.0554596218976402,0.5013575,10,"sand","low"
"6",6,4.2,0.12695867608264,0.533226439547089,0.0184784040579919,6,0.0607921114257301,0.5219725,15,"sand","low"
"7",7,4.2,0.184476265944427,0.774800316966591,0.0019616096356765,6,0.0198071180926277,0.8015625,15,"sand","high"
"8",8,4.2,0.192564680619671,0.808771658602618,0.00267677289550416,6,0.0231377306385227,0.81746,10,"sand","high"
"9",9,4.2,0.210886070961205,0.885721498037062,0.00526996344154344,6,0.0324652535537409,0.8930565,5,"sand","high"
"10",10,4.2,0.194010040276009,0.814842169159236,0.0126441087497256,6,0.0502873915603615,0.7910575,5,"concrete","high"
"11",11,4.2,0.183300615837055,0.769862586515633,0.00800693186440447,6,0.0400173259086723,0.7525425,10,"concrete","high"
"12",12,4.2,0.188026058202712,0.789709444451389,0.00471955977988626,6,0.0307231501636348,0.777935,15,"concrete","high"
"13",13,4.2,0.196417307232597,0.824952690376908,0.00666499038172459,6,0.0365102461830226,0.84808,15,"concrete","med"
"14",14,4.2,0.197741406235626,0.830513906189627,0.00245678199785925,6,0.0221665603910902,0.8443,10,"concrete","med"
"15",15,4.2,0.21664957952382,0.909928234000046,0.00664358038441167,6,0.03645155794863,0.8884425,5,"concrete","med"
"16",16,4.2,0.190319917213052,0.799343652294819,0.00659401708896394,6,0.0363153330948897,0.741905,5,"concrete","low"
"17",17,4.2,0.174978629264001,0.734910242908803,0.0108322288964214,6,0.0465450940409865,0.6978425,10,"concrete","low"
"18",18,4.2,0.170894856671721,0.717758398021228,0.0169506828097206,6,0.0582248792351184,0.6925875,15,"concrete","low"
