surface,slope,rainfall,condition,n_runs,Q25_time_min_mean,Q25_time_min_sd,Q50_time_min_mean,Q50_time_min_sd,Q75_time_min_mean,Q75_time_min_sd,max_frac
concrete,5,high,10,4,1.374799152,0.01577032,2.749598303,0.03154064,4.124397455,0.04731096,0.7910575
concrete,5,low,16,4,2.99310062,0.168384624,6.03914326,0.279084387,9.253348606,0.194287499,0.741905
concrete,5,med,15,4,1.641738133,0.041576856,3.283476266,0.083153712,4.964129316,0.175017577,0.8884425
concrete,10,high,11,4,1.442948212,0.041097291,2.885896424,0.082194582,4.328844636,0.123291873,0.7525425
concrete,10,low,17,4,4.414908136,0.458722562,7.495656035,0.209916167,11.16961829,0.319348906,0.6978425
concrete,10,med,14,4,2.164074805,0.205599421,4.328149609,0.411198842,7.849013007,0.537005066,0.8443
concrete,15,high,12,4,1.486166645,0.031484543,2.97233329,0.062969086,4.458499934,0.094453629,0.777935
concrete,15,low,18,4,5.044716479,0.571347281,7.851276333,0.363041428,11.65070264,0.665555198,0.6925875
concrete,15,med,13,4,2.296444875,0.078611807,4.59288975,0.157223615,8.258663028,0.219354145,0.84808
sand,5,high,9,4,1.471777773,0.02415191,2.943555546,0.048303821,4.415333319,0.072455731,0.8930565
sand,5,low,4,4,5.024798671,0.303321988,7.962808716,0.22539736,12.40048878,0.447833896,0.5678475
sand,5,med,3,4,1.798966238,0.083384671,3.597932476,0.166769343,6.405198429,0.817899834,0.809789
sand,10,high,8,4,1.57348413,0.062201978,3.14696826,0.124403956,4.72045239,0.186605933,0.81746
sand,10,low,5,4,7.017359382,0.462185274,10.81449662,0.890080395,16.78811666,0.882610301,0.5013575
sand,10,med,2,4,2.922271751,0.255837069,5.996064279,0.445771063,9.736333004,0.113276442,0.693495
sand,15,high,7,4,1.761072791,0.097650759,3.522145581,0.195301518,6.195782347,0.994124141,0.8015625
sand,15,low,6,4,6.959868264,0.198540457,10.68495792,0.392075384,16.49419858,0.429729672,0.5219725
sand,15,med,1,4,3.605870725,0.545474529,7.096598252,0.724334793,11.29374413,1.333514666,0.76662
