"run","start_time_min","end_time_min","jar_ID","dry_jar_mass_g","wet_jar_mass_g","water_mass_g","water_temp_C","density_g_mL","volume_mL","condition"
1,0,1,1,393.3,835.6,442.3,21.7,1.00088481780381,441.908991057047,1
1,1,2,2,392.9,1160.1,767.2,22,1.00089516081335,766.513846841417,1
1,2,3,3,394.4,1164,769.6,22.3,1.00090541290487,768.903824554643,1
1,3,4,4,393,1195.9,802.9,22.2,1.0009020056073,802.176432359964,1
1,4,5,5,394.4,1161,766.6,22.1,1.00089858825058,765.911760690863,1
1,5,6,6,393.3,1215.9,822.6,22.4,1.00090881016454,821.853091556637,1
1,6,7,7,393.3,1159.1,765.8,22.7,1.00091894192728,765.096920361445,1
1,7,8,8,393,1172.8,779.8,22.6,1.00091557465472,779.086687974662,1
1,8,9,9,393.4,1162.9,769.5,22.7,1.00091894192728,768.793523397926,1
1,9,10,10,393.2,1168,774.8,21.9,1.00089172327418,774.109708356288,1
1,10,11,11,394.4,1156.6,762.2,22.4,1.00090881016454,761.507933849342,1
1,11,12,12,393.1,1163.5,770.4,22.5,1.00091219740746,769.697883586063,1
1,12,13,13,392.4,1156.2,763.8,22.9,1.0009256466318,763.093644937816,1
1,13,14,14,393.9,1173.9,780,22.6,1.00091557465472,779.286505027233,1
1,14,15,15,393.4,1190.3,796.9,22.4,1.00090881016454,796.176426770586,1
1,15,16,16,393.2,1165.9,772.7,22.1,1.00089858825058,772.006284223623,1
1,16,17,17,394,1189.5,795.5,21.8,1.00088827561154,794.79400387016,1
1,17,18,18,393,1169.1,776.1,22.1,1.00089858825058,775.403231766473,1
1,18,19,19,392.3,1146.9,754.6,22.1,1.00089858825058,753.922534069039,1
1,19,20,20,392.9,1177.1,784.2,21.8,1.00088827561154,783.504032476405,1
1,20,21,21,393.4,1141.3,747.9,22.1,1.00089858825058,747.228549205187,1
1,21,22,22,393.3,1107.2,713.9,22.1,1.00089858825058,713.259073776685,1
1,22,23,23,393.3,1139.9,746.6,22.3,1.00090541290487,745.924630213742,1
1,23,24,24,393.1,1157.1,764,22.4,1.00090881016454,763.30629947638,1
1,24,25,25,394.3,1130.6,736.3,22.1,1.00089858825058,735.638963470757,1
1,25,26,26,392.7,1146,753.3,21.8,1.00088827561154,752.631455833302,1
1,26,27,27,394.2,1132.9,738.7,22,1.00089516081335,738.039336107605,1
1,27,28,28,394.3,1167,772.7,22,1.00089516081335,772.008927860222,1
1,28,29,29,394.4,1132.5,738.1,22,1.00089516081335,737.439872723735,1
1,29,30,30,394,1157.1,763.1,21.8,1.00088827561154,762.422758457976,1
2,0,1,1,393.3,870.2,476.9,17,1.00071043771151,476.561432786298,1
2,1,2,2,392.9,1199.6,806.7,23.8,1.00095532950414,805.930071224689,1
2,2,3,3,394.4,1184.4,790,NA,1.00070877406281,789.440465074222,1
2,3,4,4,393,1201.5,808.5,NA,1.00070877406281,807.92736204115,1
2,4,5,5,394.4,1231.4,837,NA,1.00070877406281,836.407176287499,1
2,5,6,6,393.3,1201.6,808.3,NA,1.00070877406281,807.727503695562,1
2,6,7,7,393.3,1212.4,819.1,NA,1.00070877406281,818.519854357336,1
2,7,8,8,393,1231,838,NA,1.00070877406281,837.406468015441,1
2,8,9,9,393.4,1203.8,810.4,NA,1.00070877406281,809.82601632424,1
2,9,10,10,393.2,1228.5,835.3,NA,1.00070877406281,834.708380349997,1
2,10,11,11,394.4,1173.7,779.3,NA,1.00070877406281,778.748043585242,1
2,11,12,12,393.1,1193.5,800.4,NA,1.00070877406281,799.83309904482,1
2,12,13,13,392.4,1222.9,830.5,NA,1.00070877406281,829.911780055875,1
2,13,14,14,393.9,1186.6,792.7,NA,1.00070877406281,792.138552739666,1
2,14,15,15,393.4,1197.4,804,NA,1.00070877406281,803.430549265411,1
2,15,16,16,393.2,1210.2,817,NA,1.00070877406281,816.421341728658,1
2,16,17,17,394,1195,801,NA,1.00070877406281,800.432674081585,1
2,17,18,18,393,1173.3,780.3,NA,1.00070877406281,779.747335313184,1
2,18,19,19,392.3,1166.3,774,NA,1.00070877406281,773.451797427149,1
2,19,20,20,392.9,1260.6,867.7,NA,1.00070877406281,867.08543233532,1
2,20,21,21,393.4,1120.8,727.4,NA,1.00070877406281,726.88480290505,1
2,21,22,22,393.3,1202.6,809.3,NA,1.00070877406281,808.726795423504,1
2,22,23,23,393.3,1168.2,774.9,NA,1.00070877406281,774.351159982297,1
2,23,24,24,393.1,1195.5,802.4,NA,1.00070877406281,801.831682500704,1
2,24,25,25,394.3,1222.3,828,NA,1.00070877406281,827.41355073602,1
2,25,26,26,392.7,1131.4,738.7,NA,1.00070877406281,738.176799430795,1
2,26,27,27,394.2,1190.6,796.4,NA,1.00070877406281,795.835932133051,1
2,27,28,28,394.3,1154.2,759.9,NA,1.00070877406281,759.361784063166,1
2,28,29,29,394.4,1171.6,777.2,NA,1.00070877406281,776.649530956564,1
2,29,30,30,394,1155.7,761.7,NA,1.00070877406281,761.160509173462,1
3,0,1,1,393.3,880.3,487,22.8,1.00092229924604,486.55125414514,1
3,1,2,2,392.9,1141.7,748.8,23.4,1.00094223528689,748.095118381514,1
3,2,3,3,394.4,1155.3,760.9,23.6,1.00094880193544,760.178740939313,1
3,3,4,4,393,1143.7,750.7,23.6,1.00094880193544,749.988409545462,1
3,4,5,5,394.4,1145.3,750.9,23.6,1.00094880193544,750.18821996495,1
3,5,6,6,393.3,1120.4,727.1,23.7,1.00095207059478,726.408407915025,1
3,6,7,7,393.3,1119.1,725.8,23.9,1.0009585786834,725.104929870997,1
3,7,8,8,393,1102.5,709.5,23.9,1.0009585786834,708.820539740249,1
3,8,9,9,393.4,1126.4,733,24,1.00096181815236,732.295664736765,1
3,9,10,10,393.2,1162.5,769.3,23.9,1.0009585786834,768.56327163097,1
3,10,11,11,394.4,1130.5,736.1,23.7,1.00095207059478,735.399847429859,1
3,11,12,12,393.1,1129.1,736,24,1.00096181815236,735.292782054923,1
3,12,13,13,392.4,1251.6,859.2,24,1.00096181815236,858.374399920639,1
3,13,14,14,393.9,1015.9,622,24,1.00096181815236,621.402323964894,1
3,14,15,15,393.4,1126.7,733.3,23.8,1.00095532950414,732.60012548539,1
3,15,16,16,393.2,1131.6,738.4,24.4,1.00097467931762,737.680997588645,1
3,16,17,17,394,1107.6,713.6,24.6,1.00098105214613,712.900607329204,1
3,17,18,18,393,1136.5,743.5,24.7,1.00098422418925,742.768948833531,1
3,18,19,19,392.3,1128,735.7,24.8,1.00098738667707,734.974296171973,1
3,19,20,20,392.9,1120.2,727.3,24.7,1.00098422418925,726.584877587931,1
3,20,21,21,393.4,1123.4,730,24.9,1.00099053962853,729.277621615593,1
3,21,22,22,393.3,1102.2,708.9,25,1.0009936830625,708.196277354267,1
3,22,23,23,393.3,1094,700.7,25.1,1.00099681699777,700.002225882764,1
3,23,24,24,393.1,1128.1,735,25.2,1.00099994145302,734.265777211833,1
3,24,25,25,394.3,1129.2,734.9,25.1,1.00099681699777,734.168168690228,1
3,25,26,26,392.7,1120,727.3,25,1.0009936830625,726.578011736153,1
3,26,27,27,394.2,1113.8,719.6,25.2,1.00099994145302,718.881160927394,1
3,27,28,28,394.3,1123.8,729.5,25.3,1.00100305644684,728.769003552726,1
3,28,29,29,394.4,1125.2,730.8,25.3,1.00100305644684,730.067700885993,1
3,29,30,30,394,1125.7,731.7,25.2,1.00099994145302,730.96907372231,1
4,0,1,1,393.3,834.1,440.8,25.2,1.00099994145302,440.359666115613,1
4,1,2,2,392.9,1128.4,735.5,25.8,1.00101849013899,734.751662676955,1
4,2,3,3,394.4,1123.6,729.2,26.1,1.00102763798725,728.451415653409,1
4,3,4,4,393,1143.1,750.1,26.3,1.00103369003199,749.325429772531,1
4,4,5,5,394.4,1111.7,717.3,26.1,1.00102763798725,716.563631991484,1
4,5,6,6,393.3,1118.4,725.1,26.3,1.00103369003199,724.351245338038,1
4,6,7,7,393.3,1120.2,726.9,26.6,1.00104269867057,726.142851813768,1
4,7,8,8,393,1127.3,734.3,26.7,1.00104568310553,733.532956979537,1
4,8,9,9,393.4,1124.6,731.2,6.7,1.00023683452293,731.026867600562,1
4,9,10,10,393.2,1129.4,736.2,26.4,1.00103670215116,735.437570288841,1
4,10,11,11,394.4,1109.3,714.9,26.3,1.00103369003199,714.161778088765,1
4,11,12,12,393.1,1129.9,736.8,26.6,1.00104269867057,736.032539849201,1
4,12,13,13,392.4,1086.5,694.1,26.6,1.00104269867057,693.377016706475,1
4,13,14,14,393.9,1127.7,733.8,26.6,1.00104269867057,733.035664686949,1
4,14,15,15,393.4,1098,704.6,26.4,1.00103670215116,703.870296149847,1
4,15,16,16,393.2,1111.9,718.7,26.6,1.00104269867057,717.951393036945,1
4,16,17,17,394,1091.5,697.5,26.7,1.00104568310553,696.771397920777,1
4,17,18,18,393,1115.2,722.2,26.7,1.00104568310553,721.445596528151,1
4,18,19,19,392.3,1123.4,731.1,26.7,1.00104568310553,730.336299670079,1
4,19,20,20,394.2,1119.9,725.7,26.5,1.00103970502488,724.946269720601,1
4,20,21,21,393.4,1108.7,715.3,26.7,1.00104568310553,714.552804204634,1
4,21,22,22,393.3,1109.7,716.4,26.9,1.00105162441204,715.64740771563,1
4,22,23,23,393.3,1115.9,722.6,26.9,1.00105162441204,721.840894493739,1
4,23,24,24,393.1,1102,708.9,26.9,1.00105162441204,708.15528661308,1
4,24,25,25,394.3,1118.8,724.5,26.7,1.00104568310553,723.743193969324,1
4,25,26,26,392.7,1090.2,697.5,26.6,1.00104269867057,696.773475223694,1
4,26,27,27,394.2,1121.8,727.6,26.7,1.00104568310553,726.83995573786,1
4,27,28,28,394.3,1090.3,696,26.8,1.00104865834698,695.270898369014,1
4,28,29,29,394.4,1125.4,731,26.8,1.00104865834698,730.234233775502,1
4,29,30,30,394,1104.1,710.1,26.6,1.00104269867057,709.360350905155,1
5,0,1,1,393.3,815.4,422.1,2.7,1.00001350496286,422.094299632161,2
5,1,2,2,392.9,1111.6,718.7,23,1.00092898410525,718.032958794235,2
5,2,3,3,394.4,1140.7,746.3,23.2,1.0009356293976,745.602392482674,2
5,3,4,4,393,1135.4,742.4,3.3,1.00004857211706,742.363941811716,2
5,4,5,5,394.4,1121.4,727,23.3,1.00093893725744,726.318032938121,2
5,5,6,6,393.3,1136.7,743.4,23.3,1.00093893725744,742.702648811828,2
5,6,7,7,393.3,1095.2,701.9,23.5,1.00094552350617,701.236963967175,2
5,7,8,8,393,1114.4,721.4,23.5,1.00094552350617,720.718543675624,2
5,8,9,9,393.4,1111.7,718.3,23.5,1.00094552350617,717.621472029665,2
5,9,10,10,393.2,1120.2,727,23.4,1.00094223528689,726.315639774787,2
5,10,11,11,394.4,1108.8,714.4,23.4,1.00094223528689,713.72750076356,2
5,11,12,12,393.1,1103.7,710.6,23.5,1.00094552350617,709.928745683252,2
5,12,13,13,392.4,1105.4,713,23.5,1.00094552350617,712.326478570446,2
5,13,14,14,393.9,1116.2,722.3,23.5,1.00094552350617,721.617693508321,2
5,14,15,15,393.4,1118,724.6,23.4,1.00094223528689,723.917899010744,2
5,15,16,16,393.2,1148.6,755.4,23.7,1.00095207059478,754.681489945001,2
5,16,17,17,394,1047.8,653.8,23.8,1.00095532950414,653.176001694188,2
5,17,18,18,393,1091.9,698.9,23.8,1.00095532950414,698.232957454983,2
5,18,19,19,392.3,1103.6,711.3,23.8,1.00095532950414,710.621122675246,2
5,19,20,20,394.2,1093.9,699.7,23.7,1.00095207059478,699.034469836533,2
5,20,21,21,393.4,1113.6,720.2,23.8,1.00095532950414,719.512628357532,2
5,21,22,22,393.3,1129.4,736.1,23.9,1.0009585786834,735.395065965888,2
5,22,23,23,393.3,1111,717.7,3.9,1.00008307323946,717.640383288592,2
5,23,24,24,393.1,1101.8,708.7,23.9,1.0009585786834,708.021305868801,2
5,24,25,25,394.3,1121.2,726.9,23.9,1.0009585786834,726.203876444238,2
5,25,26,26,392.7,1126.7,734,23.9,1.0009585786834,733.297077053337,2
5,26,27,27,394.2,1095.3,701.1,24,1.00096181815236,700.426317253678,2
5,27,28,28,394.3,1117.2,722.9,24.1,1.0009650479307,722.203039451233,2
5,28,29,29,394.4,1135.4,741,24.1,1.0009650479307,740.285588924283,2
5,29,30,30,394,1103.3,709.3,24,1.00096181815236,708.618437923311,2
6,0,1,1,393.3,812.3,419,24.3,1.00097147849387,418.593345567106,2
6,1,2,2,392.9,1177.6,784.7,24.5,1.00097787052863,783.933414617435,2
6,4,5,5,394.4,1161.9,767.5,24.8,1.00098738667707,766.742928247913,2
6,5,6,6,393.3,1144.9,751.6,25,1.0009936830625,750.853889207882,2
6,6,7,7,393.3,1128,734.7,25.2,1.00099994145302,733.966076894603,2
6,7,8,8,393,1145.9,752.9,25.3,1.00100305644684,752.145555551539,2
6,8,9,9,393.4,1144.6,751.2,25.2,1.00099994145302,750.449594342216,2
6,9,10,10,393.2,1136.9,743.7,25.1,1.00099681699777,742.959405436009,2
6,10,11,11,394.4,1134.2,739.8,25.1,1.00099681699777,739.063289150947,2
6,11,12,12,393.1,1144,750.9,25.2,1.00099994145302,750.149894024987,2
6,12,13,13,392.4,1154.6,762.2,25.2,1.00099994145302,761.438605973958,2
6,13,14,14,393.9,1136.9,743,25.2,1.00099994145302,742.257785671281,2
6,14,15,15,393.4,1148.9,755.5,25.1,1.00099681699777,754.74765470876,2
6,15,16,16,393.2,1130.5,737.3,24.9,1.00099053962853,736.570397831749,2
6,16,17,17,394,1139.4,745.4,25,1.0009936830625,744.660043927029,2
6,17,18,18,393,1139.6,746.6,25,1.0009936830625,745.858852691065,2
6,18,19,19,392.3,1167.9,775.6,25,1.0009936830625,774.830064488602,2
6,19,20,20,394.2,1148.4,754.2,24.9,1.00099053962853,753.45367427737,2
6,20,21,21,393.4,1110,716.6,25,1.0009936830625,715.888633590165,2
6,21,22,22,393.3,1149.3,756,25,1.0009936830625,755.24952134268,2
6,22,23,23,393.3,1162.6,769.3,25,1.0009936830625,768.536318477413,2
6,23,24,24,393.1,1148.6,755.5,25,1.0009936830625,754.750017690999,2
6,24,25,25,394.3,1144.9,750.6,25,1.0009936830625,749.854881904518,2
6,25,26,26,392.7,1148.4,755.7,24.9,1.00099053962853,754.952189938224,2
6,26,27,27,394.2,1170.1,775.9,25,1.0009936830625,775.129766679611,2
6,27,28,28,394.3,1175.1,780.8,25,1.0009936830625,780.024902466091,2
6,28,29,29,394.4,1172.3,777.9,25,1.0009936830625,777.127781286337,2
6,29,30,30,394,1164.2,770.2,24.9,1.00099053962853,769.437841326479,2
7,0,1,1,393.3,867.7,474.4,25.4,1.00100616199775,473.923156530047,2
7,1,2,2,392.9,1130.3,737.4,25.6,1.00101234484434,736.65425186606,2
7,3,4,4,393,1125.4,732.4,25.7,1.00101542217658,731.65705919644,2
7,4,5,5,394.4,1126.9,732.5,25.7,1.00101542217658,731.756957757226,2
7,5,6,6,393.3,1104.5,711.2,25.9,1.00102154874962,710.474215953055,2
7,6,7,7,393.3,1138.3,745,26.1,1.00102763798725,744.235195641511,2
7,7,8,8,393,1134.1,741.1,26.1,1.00102763798725,740.339199315334,2
7,8,9,9,393.4,1130.9,737.5,26.1,1.00102763798725,736.742895014247,2
7,9,10,10,393.2,1146,752.8,25.9,1.00102154874962,752.031762892941,2
7,10,11,11,394.4,1121.8,727.4,25.7,1.00101542217658,726.662131157141,2
7,11,12,12,393.1,1130.8,737.7,25.9,1.00102154874962,736.947172537357,2
7,12,13,13,392.4,1110.5,718.1,25.9,1.00102154874962,717.367174459911,2
7,13,14,14,393.9,1135.7,741.8,25.9,1.00102154874962,741.042988461721,2
7,14,15,15,393.4,1143.9,750.5,25.8,1.00101849013899,749.736400868871,2
7,15,16,16,393.2,1127.9,734.7,25.6,1.00101234484434,733.956982432865,2
7,16,17,17,394,1130.3,736.3,25.7,1.00101542217658,735.553103067092,2
7,19,20,20,394.2,1120,725.8,25.5,1.00100925812414,725.068219009408,2
7,20,21,21,393.4,1121.7,728.3,25.7,1.00101542217658,727.561218204215,2
7,21,22,22,393.3,1116.8,723.5,25.8,1.00101849013899,722.763872123422,2
7,22,23,23,393.3,1107.3,714,25.8,1.00101849013899,713.273537935209,2
7,23,24,24,393.1,1113.5,720.4,25.8,1.00101849013899,719.667026230426,2
7,24,25,25,394.3,1123.8,729.5,25.7,1.00101542217658,728.760000933647,2
7,25,26,26,392.7,1109.1,716.4,25.6,1.00101234484434,715.675489607873,2
7,26,27,27,394.2,1122.5,728.3,25.7,1.00101542217658,727.561218204215,2
7,27,28,28,394.3,1108.9,714.6,25.7,1.00101542217658,713.875115376537,2
7,28,29,29,394.4,1111.2,716.8,25.7,1.00101542217658,716.072883713828,2
7,29,30,30,394,1114.8,720.8,25.6,1.00101234484434,720.071039795303,2
8,0,1,1,393.3,856.1,462.8,25.2,1.00099994145302,462.337689379097,2
8,1,2,2,392.9,1143.2,750.3,25.5,1.00100925812414,749.543517115954,2
8,2,3,3,394.4,1143.9,749.5,25.7,1.00101542217658,748.73971309084,2
8,3,4,4,393,1107.4,714.4,25.8,1.00101849013899,713.67313095366,2
8,5,6,6,393.3,1128.6,735.3,25.7,1.00101542217658,734.554117459233,2
8,6,7,7,393.3,1122.5,729.2,25.9,1.00102154874962,728.455846840506,2
8,7,8,8,393,1133.8,740.8,26,1.00102459802642,740.041754678688,2
8,8,9,9,393.4,1135,741.6,26,1.00102459802642,740.840935839248,2
8,9,10,10,393.2,1116.5,723.3,25.8,1.00101849013899,722.564075614197,2
8,10,11,11,394.4,1124.7,730.3,25.7,1.00101542217658,729.559189419934,2
8,11,12,12,393.1,1130.9,737.8,25.8,1.00101849013899,737.049322533049,2
8,12,13,13,392.4,1105.9,713.5,25.9,1.00102154874962,712.771868788674,2
8,13,14,14,393.9,1110.6,716.7,25.8,1.00101849013899,715.970790809754,2
8,14,15,15,393.4,1121,727.6,25.8,1.00101849013899,726.859700562546,2
8,15,16,16,393.2,1110.7,717.5,25.8,1.00101849013899,716.769976846656,2
8,16,17,17,394,1126.8,732.8,25.9,1.00102154874962,732.052173017996,2
8,17,18,18,393,1115.3,722.3,26,1.00102459802642,721.560690340735,2
8,18,19,19,392.3,1125.8,733.5,26,1.00102459802642,732.749226588577,2
8,19,20,20,394.2,1141.8,747.6,25.8,1.00101849013899,746.839351485101,2
8,20,21,21,393.4,1114.6,721.2,26,1.00102459802642,720.461816244965,2
8,21,22,22,393.3,1115,721.7,26.1,1.00102763798725,720.959115026146,2
8,22,23,23,393.3,1131.9,738.6,26.1,1.00102763798725,737.841765772913,2
8,23,24,24,393.1,1124.8,731.7,26.1,1.00102763798725,730.94884919583,2
8,24,25,25,394.3,1122.5,728.2,26,1.00102459802642,727.454651399866,2
8,25,26,26,392.7,1097.6,704.9,26,1.00102459802642,704.178500098552,2
8,26,27,27,394.2,1157.6,763.4,26,1.00102459802642,762.618622464512,2
8,27,28,28,394.3,1125.1,730.8,25.9,1.00102154874962,730.054214030501,2
8,28,29,29,394.4,1124.6,730.2,25.9,1.00102154874962,729.454826334253,2
8,29,30,30,394,1118.6,724.6,25.8,1.00101849013899,723.862752924163,2
9,0,1,1,393.3,856,462.7,25.3,1.00100305644684,462.236350848316,3
9,1,2,2,392.9,1145.6,752.7,25.6,1.00101234484434,751.938778654168,3
9,2,3,3,394.4,1173.5,779.1,25.7,1.00101542217658,778.309687083487,3
9,3,4,4,393,1162.4,769.4,25.7,1.00101542217658,768.619526687248,3
9,4,5,5,394.4,1156.1,761.7,25.6,1.00101234484434,760.92967676482,3
9,5,6,6,393.3,1125.4,732.1,25.7,1.00101542217658,731.357363514082,3
9,6,7,7,393.3,1133.1,739.8,25.9,1.00102154874962,739.045029474227,3
9,7,8,8,393,1145.4,752.4,26,1.00102459802642,751.62988150681,3
9,8,9,9,393.4,1150.1,756.7,25.9,1.00102154874962,755.927782918556,3
9,9,10,10,393.2,1132.1,738.9,25.8,1.00101849013899,738.148203333789,3
